scenario,policy,rep,epoch,epoch_cost,cumulative_regret
flash_flood,adaptive,16,3,106515.34,-106061.64
flash_flood,robust,16,4,73872.0,-23671.69
flash_flood,adaptive,16,4,73872.0,-32189.64
flash_flood,robust,16,5,62112.0,38440.31
flash_flood,adaptive,16,5,62112.0,29922.36
flash_flood,robust,17,0,5065.38,-216883.42
flash_flood,adaptive,17,0,4504.26,-217444.54
flash_flood,robust,17,1,13420.68,-203462.74
flash_flood,adaptive,17,1,13333.04,-204111.5
flash_flood,robust,17,2,20482.34,-182980.4
flash_flood,adaptive,17,2,19878.58,-184232.92
flash_flood,robust,17,3,153835.79,-29144.61
flash_flood,adaptive,17,3,148643.59,-35589.34
flash_flood,robust,17,4,45504.0,16359.39
flash_flood,adaptive,17,4,45504.0,9914.66
flash_flood,robust,17,5,34848.0,51207.39
flash_flood,adaptive,17,5,34848.0,44762.66
flash_flood,robust,18,0,3915.87,-254144.05
flash_flood,adaptive,18,0,2977.43,-255082.49
flash_flood,robust,18,1,14001.6,-240142.46
flash_flood,adaptive,18,1,12886.0,-242196.49
flash_flood,robust,18,2,16980.08,-223162.38
flash_flood,adaptive,18,2,16079.1,-226117.39
flash_flood,robust,18,3,167351.88,-55810.5
flash_flood,adaptive,18,3,151849.21,-74268.17
flash_flood,robust,18,4,68352.0,12541.5
flash_flood,adaptive,18,4,68352.0,-5916.17
flash_flood,robust,18,5,46464.0,59005.5
flash_flood,adaptive,18,5,46464.0,40547.83
